direccion,Latitud,Longitud
"Piloto Lazo Nº 120,Cerrillos,Región Metropolitana, Chile",-33.4880417,-70.7031803
"Del Consistorial Nº 6645,Cerro Navia,Región Metropolitana, Chile",-33.4344683,-70.7292242
"Av. Independencia Nº 3499,Conchalí,Región Metropolitana, Chile",-33.396308,-70.6708765
"Av. Alejandro Guzmán Nº 735,El Bosque,Región Metropolitana, Chile",-33.5560749,-70.6653281
"Premio Nobel Nº 5555,Huechuraba,Región Metropolitana, Chile",-33.3751171,-70.6351236
"Av. Independencia N° 753,Independencia,Región Metropolitana, Chile",-33.422327,-70.6548136
"Av. Vicuña Mackenna Nº 7210,La Florida,Región Metropolitana, Chile",-33.5207796,-70.600982
"Av. Santa Rosa Nº 12975,La Pintana,Región Metropolitana, Chile",-33.5840363,-70.6303001
"Av. Apoquindo Nº 3400,Las Condes,Región Metropolitana, Chile",-33.4160759,-70.5947707
"Av. Las Condes Nº 14891,Lo Barnechea,Región Metropolitana, Chile",-33.3639255,-70.4940247
"San Pablo Nº 5959,Lo Prado,Región Metropolitana, Chile",-33.4428063,-70.7182176
"Los Platanos Nº 3130,Macul,Región Metropolitana, Chile",-33.4820171,-70.5999527
"Av. 5 de Abril Nº 0260,Maipú,Región Metropolitana, Chile",-33.510102,-70.7548045
"Av. Irarrázaval Nº 3550,Ñuñoa,Región Metropolitana, Chile",-33.4542138,-70.5937132
"Av. Grecia Nº 8735,Peñalolén,Región Metropolitana, Chile",-33.4766971,-70.541595
"Av. Pedro de Valdivia Nº 963,Providencia,Región Metropolitana, Chile",-33.4319764,-70.609573
"San Pablo Nº 8444,Pudahuel,Región Metropolitana, Chile",-33.4456719,-70.7439737
"José Francisco Vergara Nº 450,Quilicura,Región Metropolitana, Chile",-33.3687432,-70.7296625
"Av. Carrascal Nº 4447,Quinta Normal,Región Metropolitana, Chile",-33.4226359,-70.6933937
"Av. Recoleta Nº 2774,Recoleta,Región Metropolitana, Chile",-33.4018886,-70.643594
"Blanco Encalada Nº 1335,Renca,Región Metropolitana, Chile",-33.4045745,-70.7041626
"Av. Santa Rosa Nº 2606,San Joaquín,Región Metropolitana, Chile",-33.4791342,-70.6413371
"Av. Ossa Nº 1771,San Ramón,Región Metropolitana, Chile",-33.5430899,-70.6435445
"Av. Concha y Toro Nº 1820,Puente Alto,Región Metropolitana, Chile",-33.5957612,-70.5791272
"Av. Concha y Toro Nº 02548,Pirque,Región Metropolitana, Chile",-33.5884125,-70.5804609
"Camino Al Volcán Nº 19775,San José De Maipo,Región Metropolitana, Chile",-33.6406356,-70.3535166
"Baquedano Nº 964,Lampa,Región Metropolitana, Chile",-33.284828,-70.8783039
"Arturo Prat Nº 200,Tiltil,Región Metropolitana, Chile",-33.0853233,-70.9286268
"Edificio Consistorial Eyzaguirre Nº 450,San Bernardo,Región Metropolitana, Chile",-33.6131119,-70.5817609
"Carlos Condell Nº 415,Buin,Región Metropolitana, Chile",-33.7313815,-70.7415012
"Av. Calera de Tango Nº 345,Calera De Tango,Región Metropolitana, Chile",-33.6303488,-70.7615663
"Av. General Baquedano Nº 490,Paine,Región Metropolitana, Chile",-33.8084219,-70.742306
"Pintor Onofre Jarpa Nº 55,Alhué,Región Metropolitana, Chile",-34.0322032,-71.0982222
"Av. Francisco Costabal Nº 78,María Pinto,Región Metropolitana, Chile",-33.5168804,-71.1238006
"Av. 21 de Mayo Nº 875,Talagante,Región Metropolitana, Chile",-33.6653681,-70.9301129
"Av. Los Libertadores Nº 277,El Monte,Región Metropolitana, Chile",-33.6788548,-70.9787855
"Alcalde López Nº 9,Isla De Maipo,Región Metropolitana, Chile",-33.7554156,-70.8974584
"Camino a Melipilla Nº 3295,Padre Hurtado,Región Metropolitana, Chile",-33.5779221,-70.8248397
"Alcalde Luis Araya Cereceda Nº 1215,Peñaflor,Región Metropolitana, Chile",-33.60789,-70.90084
"Plaza de Armas S/N,Santiago,Región Metropolitana, Chile",-33.436932,-70.65027
"Av. Lib. Bernado O´Higgins Nº 3920,Estación Central,Región Metropolitana, Chile",-33.454123,-70.689888
"Gran Avenida Nº 8585 - Parad. 24,La Cisterna,Región Metropolitana, Chile",-33.5346095,-70.6639913
"Av. Americo Vespucio Nº 002,La Granja,Región Metropolitana, Chile",-33.543207,-70.631577
"Alcalde Fernando Castillo Velasco N° 9925,La Reina,Región Metropolitana, Chile",-33.4524444,-70.5307029
"Av. Central Cardenal Raul S. Henriquez N°8321,Lo Espejo,Región Metropolitana, Chile",-33.5220498,-70.690565
"Av. Presidente Salvador Allende Nº 2029,Pedro Aguirre Cerda,Región Metropolitana, Chile",-33.4887748,-70.6641571
"José Miguel Carrera Nº 3418 (Gran Avenida),San Miguel,Región Metropolitana, Chile",-33.4859682,-70.6493533
"Av.Bicentenario Nº 3800,Vitacura,Región Metropolitana, Chile",-33.3992339,-70.6014916
"Av. Colina 700,Colina,Región Metropolitana, Chile",-33.192961,-70.6804518
"Av. Silva Chávez Nº 480,Melipilla,Región Metropolitana, Chile",-33.6856721,-71.2168923
"Avenida Ambrosio O\'Higgins Nº 1305,Curacaví,Región Metropolitana, Chile",-33.4009037,-71.1267263
"Av. Hermosilla Nº 11,San Pedro,Región Metropolitana, Chile",-33.893394,-71.462432
