Direccion,lat,lon,Unnamed: 0
,,,0
"Los Orientales / A. Vespucio, Metro Los Orientales, Peñalolén, RM (Metropolitana)",-33.4621758,-70.5741443,1
,,,2
"Avenida Tobalaba, Quilín - Cousiño Macul, Peñalolén, RM (Metropolitana)",-33.4985562,-70.5625555,3
"Mariano Sánchez Fontecilla 11400 - 11700, Penalolen, Peñalolén, Chile, Villa San Carlos, Peñalolén, RM (Metropolitana)",-33.48165,-70.55521,4
"Avenida Consistorial 5791, Santiago, Peñalolén, Chile, Quilín - Cousiño Macul, Peñalolén, RM (Metropolitana)",-33.4997709,-70.5525886,5
"Cruz Almeyda, Los Orientales, Metro Los Orientales, Peñalolén, RM (Metropolitana)",-33.4621758,-70.5741443,6
,,,7
"Vespucio Vitacura, Plaza Oeste, Cerrillos, RM (Metropolitana)",-33.5151301,-70.718422,8
"Sector El Cortijo, El Mirador, Cerrillos, RM (Metropolitana)",-33.5039136,-70.7241734,9
"Rosa Ester Rodriguez, 7380, Parque Bicentenario - Metro Cerrillos, Cerrillos, RM (Metropolitana)",-33.5009779,-70.7099288,10
"Metro Dorsal, Estación Conchalí, Conchalí, RM (Metropolitana)",-33.3967662,-70.643089,11
"Ruta 5 / Vespucio Norte, Cardenal Caro, Conchalí, RM (Metropolitana)",-33.372923,-70.6853887,12
"Ruta 5 / Vespucio Norte, Cardenal Caro, Conchalí, RM (Metropolitana)",-33.372923,-70.6853887,13
"Ruta 5 / Vespucio Norte, Cardenal Caro, Conchalí, RM (Metropolitana)",-33.372923,-70.6853887,14
"Parral / Barón De Juras Reales, Vivaceta, Conchalí, RM (Metropolitana)",-33.3904315,-70.6837532,15
"Cardenal Caro, Conchalí, RM (Metropolitana)",-33.372923,-70.6853887,16
"Parral / Barón De Juras Reales, Vivaceta, Conchalí, RM (Metropolitana)",-33.3904315,-70.6837532,17
"El Cortijo, EL CORTIJO, Conchalí, RM (Metropolitana)",-33.37638,-70.69037,18
"Avenida Vespucio 2700 - 3000, Conchalí, Chile, Conchalí, RM (Metropolitana)",-33.463694,-70.763698,19
"El Cortijo, Cardenal Caro, Conchalí, RM (Metropolitana)",-33.372923,-70.6853887,20
