estacion,lat,lon
Alcantara,-33.415325,-70.589453
Baquedano,-33.437036,-70.633527
Barrancas,-33.452669,-70.739017
Bellas Artes,-33.436611,-70.644524
Bellavista de la Florida,-33.519822,-70.599652
Blanqueado,-33.441505,-70.707321
Cal y Canto,-33.432716,-70.6525
Camino Agricola,-33.491585,-70.617531
Carlos Valdovinos,-33.485641,-70.619652
Cementerios,-33.414074,-70.643562
Cerro Blanco,-33.422554,-70.644974
Ciudad del Niño,-33.510162,-70.65686
Cristobal Colón,-33.426224,-70.590973
Cumming,-33.439098,-70.668427
Del Sol,-33.489991,-70.752848
Departamental,-33.502556,-70.65464
Dorsal,-33.396801,-70.642677
Ecuador,-33.456047,-70.699669
Einstein,-33.405731,-70.643135
El Golf,-33.416611,-70.595688
El Parrón,-33.526531,-70.661423
Elisa Correa,-33.569405,-70.583611
El Llano,-33.482703,-70.649445
Escuela Militar,-33.413752,-70.58325
Estación Central,-33.45097,-70.679169
Francisco Bilbao,-33.431484,-70.584641
Franklin,-33.476217,-70.649632
Grecia,-33.468819,-70.576202
Gruta de Lourdes,-33.438262,-70.690838
Hernando de Magallanes,-33.407904,-70.556213
Hospital Sotero del Río,-33.576462,-70.582375
Irarrazaval,-33.453766,-70.628773
La Cisterna,-33.537443,-70.664251
La Granja,-33.541138,-70.615967
La Moneda,-33.444857,-70.654811
Laguna Sur,-33.462563,-70.738066
Las Mercedes,-33.602119,-70.577194
Las Parcelas,-33.475394,-70.740043
Las Rejas,-33.457157,-70.705963
Las Torres,-33.500034,-70.587074
Lo Ovalle,-33.5172,-70.658707
Lo Prado,-33.443298,-70.716412
Lo Vial,-33.497272,-70.653107
Los Dominicos,-33.407895,-70.545109
Los Héroes,-33.446108,-70.66036
Los Leones,-33.422164,-70.60859
Los Orientales,-33.462456,-70.573792
Los Presidentes,-33.479797,-70.578712
Los Quillayes,-33.560627,-70.585289
Macul,-33.508785,-70.589485
Manquehue,-33.409251,-70.568734
Manuel Montt,-33.428341,-70.619209
Mirador,-33.512936,-70.606583
Monte Tabor,-33.481816,-70.745165
Neptuno,-33.451546,-70.722687
Ñuble,-33.46719,-70.625186
Pajaritos,-33.457981,-70.715775
Parque Bustamante,-33.442787,-70.63163
Parque OHiggins,-33.460464,-70.656868
Patronato,-33.42963,-70.647064
Pedrero,-33.507812,-70.612663
Pedro de Valdivia,-33.425465,-70.614273
Plaza de Armas,-33.43726,-70.650551
Plaza Egaña,-33.453278,-70.570732
Plaza de Maipú,-33.510522,-70.75723
Plaza de Puente Alto,-33.609547,-70.575905
Principe de Gales,-33.439163,-70.57309
Protectora de la Infancia,-33.589287,-70.579704
Pudahuel,-33.44483,-70.740722
Quilí­n,-33.487999,-70.580231
Quinta Normal,-33.440282,-70.680357
República,-33.447952,-70.667564
Rodrigo de Araya,-33.477516,-70.622314
Rojas Magallanes,-33.535854,-70.592773
Rondizzoni,-33.470043,-70.656331
Salvador,-33.433107,-70.626585
San Alberto Hurtado,-33.454113,-70.692436
San Joaquí­n,-33.498318,-70.61602
San José de la Estrella,-33.553356,-70.586562
San Miguel,-33.488798,-70.651178
San Pablo,-33.444226,-70.723315
San Ramón,-33.541194,-70.643671
Santa Ana,-33.438254,-70.659823
Santa Isabel,-33.447102,-70.630402
Santa Julia,-33.531105,-70.605499
Santa Lucí­a,-33.442691,-70.64572
Santa Rosa,-33.542511,-70.634125
Santiago Bueras,-33.496645,-70.757567
Simón Bolivar,-33.445904,-70.572037
Tobalaba,-33.418145,-70.601353
Toesca,-33.452965,-70.658577
Trinidad,-33.54702,-70.587654
Unión Latino Americana,-33.449467,-70.673203
Universidad Católica,-33.440216,-70.640549
Universidad de Chile,-33.443809,-70.650391
Universidad de Santiago,-33.452896,-70.68615
Vespucio Norte,-33.380429,-70.646821
Vicente Valdés,-33.526337,-70.596756
Vicuña Mackenna,-33.519642,-70.596069
Zapadores,-33.390938,-70.642441
Inés de Suarez,-33.4388748,-70.60720231
Ñuñoa,-33.45444333,-70.60544713
Estadio Nacional,-33.46211189,-70.60611301
Bío Bío,-33.47666111,-70.64236876
Pdte. Pedro Aguirre Cerda,-33.47863347,-70.66471673
Lo Valledor,-33.47824584,-70.68067601
Cerrillos,-33.48340435,-70.69555389
Fdo. Castillo Velasco,-33.45204884,-70.55792606
Villa Frei,-33.45460144,-70.58099111
Chile España,-33.45486238,-70.59750748
Monseñor Eyzaguirre,-33.45313709,-70.613835
Matta,-33.45794155,-70.64313253
Parque Almagro,-33.4514711,-70.65064274
Hospitales,-33.41762713,-70.65639446
Plaza Chacabuco,-33.40655599,-70.661028
Conchalí,-33.3979312,-70.669546
Vivaceta,-33.38585903,-70.67923673
Cardenal Caro,-33.37291399,-70.6853887
Los Libertadores,-33.36539407,-70.6919089
Plaza Quilicura,-33.36605559,-70.73001029
Lo Cruzat,-33.36643007,-70.72194123
Ferrocarril,-33.3655579,-70.70573816
